age,attrition,businesstravel,dailyrate($),department,distancefromhome,education,educationfield,employeecount,employeenumber,environmentsatisfaction,gender,hourlyrate($),jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome($),monthlyrate($),numcompaniesworked,over18,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,standardhours,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearsincurrentrole,yearssincelastpromotion,yearswithcurrmanager,sameasmonthlyincome($),datebirth,salary($),roledepartament,numberchildren,remotework,edad_temp
51,no,unknown,2015.7222222222224,unknown,6,3,unknown,1,1,1,male,251.9652777777778,3,5, research director ,3,unknown,16280.83,42330.17,7,True,no,13,3,3,full time,0,,5,3,20,,15,15,16280.83,1970-01-01 00:00:00.000001972,195370.0,unknown,,True,55
52,no,unknown,2063.3888888888887,unknown,1,4,life sciences,1,2,3,male,257.9236111111111,2,5, manager ,3,unknown,16665.833333333332,43331.17,0,True,unknown,14,3,1,unknown,1,34.0,5,3,33,,11,9,16665.833333333332,1970-01-01 00:00:00.000001971,199990.0,unknown,,True,55
42,no,travel rarely,1984.253968253968, research & development ,4,2,technical degree,1,3,3,male,248.031746031746,3,5, manager ,4,married,16026.666666666666,41669.33,1,True,no,11,3,4,unknown,0,22.0,3,3,22,,11,15,16026.666666666666,1970-01-01 00:00:00.000001981,192320.0, manager     research & development ,,True,55
47,no,travel rarely,1771.4047619047622,unknown,2,4,medical,1,4,1,female,221.42559523809527,3,4, research director ,3,married,14307.5,37199.5,3,True,unknown,19,3,2,full time,2,,2,3,20,,5,6,14307.5,1970-01-01 00:00:00.000001976,171690.0,unknown,,False,55
46,no,unknown,1582.7713464696226,unknown,3,3,technical degree,1,5,1,female,197.84641830870282,4,4, sales executive ,1,divorced,12783.92,33238.2,2,True,no,12,3,4,unknown,1,,5,3,19,,2,8,12783.92,1970-01-01 00:00:00.000001977,153407.04,unknown,,False,55
48,no,unknown,1771.920634920635, research & development ,22,3,medical,1,6,4,female,221.49007936507937,3,4, manager ,4,unknown,14311.67,37210.33,3,True,no,11,3,2,unknown,1,,3,3,22,,4,7,14311.67,1970-01-01 00:00:00.000001975,171740.04, manager     research & development ,,True,55
59,no,unknown,1032.4872861766066,unknown,25,3,life sciences,1,7,1,female,129.06091077207583,3,3, sales executive ,1,unknown,8339.32,21682.23,7,True,unknown,11,3,4,part time,0,28.0,3,2,21,,7,9,8339.32,1970-01-01 00:00:00.000001964,100071.84,unknown,,True,55
42,no,travel rarely,556.2566609977324,unknown,1,1,unknown,1,8,2,male,69.53208262471655,3,2, sales executive ,3,married,4492.8425,11681.39,1,True,no,25,4,3,part time,0,20.0,3,3,20,,11,6,4492.8425,1970-01-01 00:00:00.000001981,53914.11,unknown,,False,55
41,no,unknown,1712.1825396825398,unknown,2,5,unknown,1,9,2,female,214.02281746031747,3,4, manager ,1,married,13829.17,35955.83,7,True,no,16,3,2,full time,1,22.0,2,3,18,,11,8,13829.17,1970-01-01 00:00:00.000001982,165950.0,unknown,,True,55
41,no,travel frequently,1973.9841269841268,unknown,9,3,unknown,1,10,1,male,246.74801587301585,3,5, research director ,3,unknown,15943.72,41453.67,2,True,no,17,3,2,unknown,1,21.0,2,4,18,,0,11,15943.72,1970-01-01 00:00:00.000001982,191324.64,unknown,,False,55
41,no,non travel,2060.7063492063494,unknown,7,1,unknown,1,11,2,female,257.5882936507937,1,5, research director ,3,unknown,16644.17,43274.83,1,True,no,22,4,2,full time,2,,3,3,21,,5,10,16644.17,1970-01-01 00:00:00.000001982,199730.0,unknown,,False,55
56,no,travel rarely,1382.7460317460318,unknown,23,3,life sciences,1,12,4,male,172.84325396825398,3,4, manufacturing director ,2,married,11168.333333333334,29037.67,4,True,yes,12,3,1,full time,1,33.0,0,3,19,,15,9,11168.333333333334,1970-01-01 00:00:00.000001967,134020.0,unknown,,False,55
38,no,unknown,1362.5238095238096,unknown,10,3,medical,1,13,2,female,170.3154761904762,1,3, research director ,3,married,11005.0,28613.0,3,True,no,12,3,1,full time,1,,3,3,18,,1,11,11005.0,1970-01-01 00:00:00.000001985,132060.0,unknown,,True,55
41,yes,travel rarely,2016.547619047619,unknown,12,3,unknown,1,14,2,female,252.06845238095238,3,5, research director ,3,married,16287.5,42347.5,1,True,no,12,3,4,full time,0,,0,3,22,,15,8,16287.5,1970-01-01 00:00:00.000001982,195450.0,unknown,,False,55
55,no,unknown,1973.9841269841268,unknown,14,4,medical,1,15,3,male,246.74801587301585,4,5, research director ,2,single,15943.72,41453.67,8,True,no,11,3,4,unknown,0,,3,3,24,,2,15,15943.72,1970-01-01 00:00:00.000001968,191324.64,unknown,,True,55
40,no,travel rarely,1861.373015873016,unknown,2,4,unknown,1,16,3,female,232.671626984127,3,5, manager ,3,unknown,15034.17,39088.83,0,True,no,14,3,4,full time,0,,2,3,20,,1,12,15034.17,1970-01-01 00:00:00.000001983,180410.0,unknown,,False,55
58,yes,travel rarely,1985.6984126984123,unknown,2,4,unknown,1,17,4,male,248.21230158730154,3,5, research director ,2,single,16038.33,41699.67,7,True,yes,12,3,4,full time,0,40.0,2,3,31,,13,8,16038.33,1970-01-01 00:00:00.000001965,192460.0,unknown,,False,55
46,no,travel rarely,1582.7713464696226,unknown,2,3,unknown,1,18,3,female,197.84641830870282,3,4, manager ,1,unknown,12783.92,33238.2,8,True,unknown,23,4,1,unknown,0,28.0,2,3,26,,15,9,12783.92,1970-01-01 00:00:00.000001977,153407.04,unknown,,False,55
35,no,unknown,556.2566609977324,unknown,13,5,life sciences,1,19,2,male,69.53208262471655,4,2, research scientist ,1,married,4492.84,11681.39,1,True,unknown,11,3,4,unknown,0,,2,3,16,,1,10,4492.84,1970-01-01 00:00:00.000001988,53914.08,unknown,,False,55
40,no,travel rarely,1032.4872861766066,unknown,15,3,life sciences,1,20,1,female,129.06091077207583,2,3, manufacturing director ,3,unknown,8339.32,21682.23,1,True,unknown,13,3,4,unknown,2,18.0,2,3,18,,14,12,8339.32,1970-01-01 00:00:00.000001983,100071.84,unknown,,True,55
45,no,non travel,1108.920634920635, research & development ,1,1,unknown,1,21,3,male,138.61507936507937,2,3, healthcare representative ,3,unknown,8956.67,23287.33,3,True,unknown,23,4,4,full time,1,25.0,3,2,23,,14,4,8956.67,1970-01-01 00:00:00.000001978,107480.0, healthcare representative     research & development ,,False,55
33,no,unknown,1032.4872861766066,unknown,1,2,life sciences,1,22,1,female,129.06091077207583,3,3, research director ,4,single,8339.32,21682.23,1,True,yes,12,3,3,part time,0,15.0,1,3,15,,8,12,8339.32,1970-01-01 00:00:00.000001990,100071.84,unknown,,True,55
36,no,unknown,1032.4872861766066,unknown,8,3,unknown,1,23,3,female,129.06091077207583,3,3, healthcare representative ,3,divorced,8339.32,21682.23,1,True,unknown,13,3,2,unknown,3,17.0,2,3,17,,12,8,8339.32,1970-01-01 00:00:00.000001987,100071.84,unknown,,True,55
47,no,unknown,1728.3809523809523,unknown,2,2,other,1,24,3,female,216.0476190476191,3,4, manager ,4,married,13960.0,36296.0,1,True,unknown,11,3,3,full time,1,,3,2,26,,3,0,13960.0,1970-01-01 00:00:00.000001976,167520.0,unknown,,False,55
36,no,travel rarely,639.7857142857143,unknown,42,2,life sciences,1,25,4,male,79.97321428571429,3,2, sales executive ,4,unknown,5167.5,13435.5,1,True,unknown,14,3,4,full time,1,18.0,1,3,18,,4,11,5167.5,1970-01-01 00:00:00.000001987,62010.0,unknown,,True,55
35,no,unknown,1032.4872861766066,unknown,9,3,life sciences,1,26,4,female,129.06091077207583,2,3, manufacturing director ,3,married,8339.32,21682.23,1,True,yes,20,4,2,part time,1,17.0,2,3,17,,5,15,8339.32,1970-01-01 00:00:00.000001988,100071.84,unknown,,False,55
