age,attrition,businesstravel,dailyrate($),department,distancefromhome,education,educationfield,employeecount,employeenumber,environmentsatisfaction,gender,hourlyrate($),jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome($),monthlyrate($),numcompaniesworked,over18,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,standardhours,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearsincurrentrole,yearssincelastpromotion,yearswithcurrmanager,sameasmonthlyincome($),datebirth,salary($),roledepartament,numberchildren,remotework,salary
51,no,,2015.7222222222224,,6,3,,1,1,1,0,251.9652777777778,3,5, research director ,3,unknown,16280.83,42330.17,7,y,no,13,3,3,full time,0,,5,3,20,,15,15,16280.83,1972,195370.0,,,True,
52,no,,2063.3888888888887,,1,4,life sciences,1,2,3,0,257.9236111111111,2,5, manager ,3,unknown,16665.833333333332,43331.17,0,,,14,3,1,,1,34.0,5,3,33,,11,9,,1971,199990.0,,,True,
42,no,travel rarely,1984.253968253968, research & development ,4,2,technical degree,1,3,3,0,248.031746031746,3,5, manager ,4,married,16026.666666666666,41669.33,1,,no,11,3,4,,0,22.0,3,,22,,11,15,,1981,192320.0, manager     research & development ,,True,
47,no,travel rarely,1771.4047619047622,,2,4,medical,1,4,1,1,221.42559523809527,3,4, research director ,3,married,14307.5,37199.5,3,y,,19,3,2,full time,2,,2,,20,,5,6,14307.5,1976,171690.0,,,False,
46,no,,1582.7713464696226,,3,3,technical degree,1,5,1,1,197.84641830870282,4,4, sales executive ,1,divorced,12783.92,33238.2,2,y,no,12,3,4,,1,,5,3,19,,2,8,12783.92,1977,153407.04,,,False,153407.04
48,no,,1771.920634920635, research & development ,22,3,medical,1,6,4,1,221.49007936507937,3,4, manager ,4,unknown,14311.67,37210.33,3,,no,11,3,2,,1,,3,3,22,,4,7,14311.67,1975,171740.04, manager     research & development ,,True,171740.04
59,no,,1032.4872861766066,,25,3,life sciences,1,7,1,1,129.06091077207583,3,3, sales executive ,1,unknown,8339.32,21682.23,7,y,,11,3,4,part time,0,28.0,3,2,21,,7,9,8339.32,1964,100071.84,,,True,
42,no,travel rarely,556.2566609977324,,1,1,,1,8,2,0,69.53208262471655,3,2, sales executive ,3,married,4492.8425,11681.39,1,,no,25,4,3,part time,0,20.0,3,3,20,,11,6,,1981,53914.11,,,False,
41,no,,1712.1825396825398,,2,5,,1,9,2,1,214.02281746031747,3,4, manager ,1,married,13829.17,35955.83,7,,no,16,3,2,full time,1,22.0,2,3,18,,11,8,13829.17,1982,165950.0,,,True,
41,no,travel frequently,1973.9841269841268,,9,3,,1,10,1,0,246.74801587301585,3,5, research director ,3,unknown,15943.72,41453.67,2,,no,17,3,2,,1,21.0,2,4,18,,0,11,15943.72,1982,191324.63999999998,,,False,191324.63999999998
41,no,non travel,2060.7063492063494,,7,1,,1,11,2,1,257.5882936507937,1,5, research director ,3,unknown,16644.17,43274.83,1,y,no,22,4,2,full time,2,,3,3,21,,5,10,16644.17,1982,199730.0,,,False,
56,no,travel rarely,1382.7460317460318,,23,3,life sciences,1,12,4,0,172.84325396825398,3,4, manufacturing director ,2,married,11168.333333333334,29037.67,4,,yes,12,,1,full time,1,33.0,0,3,19,,15,9,,1967,134020.0,,,False,
38,no,,1362.5238095238096,,10,3,medical,1,13,2,1,170.3154761904762,1,3, research director ,3,married,11005.0,28613.0,3,y,no,12,3,1,full time,1,,3,3,18,,1,11,,1985,132060.0,,,True,
41,yes,travel rarely,2016.547619047619,,12,3,,1,14,2,1,252.06845238095238,3,5, research director ,3,married,16287.5,42347.5,1,,no,12,3,4,full time,0,,0,3,22,,15,8,,1982,195450.0,,,False,
55,no,,1973.9841269841268,,14,4,medical,1,15,3,0,246.74801587301585,4,5, research director ,2,single,15943.72,41453.67,8,,no,11,3,4,,0,,3,3,24,,2,15,15943.72,1968,191324.63999999998,,,True,191324.63999999998
40,no,travel rarely,1861.373015873016,,2,4,,1,16,3,1,232.671626984127,3,5, manager ,3,unknown,15034.17,39088.83,0,,no,14,3,4,full time,0,,2,3,20,,1,12,15034.17,1983,180410.0,,,False,
58,yes,travel rarely,1985.6984126984123,,2,4,,1,17,4,0,248.21230158730154,3,5, research director ,2,single,16038.33,41699.67,7,y,yes,12,3,4,full time,0,40.0,2,3,31,,13,8,16038.33,1965,192460.0,,,False,
46,no,travel rarely,1582.7713464696226,,2,3,,1,18,3,1,197.84641830870282,3,4, manager ,1,unknown,12783.92,33238.2,8,,,23,4,1,,0,28.0,2,3,26,,15,9,12783.92,1977,153407.04,,,False,153407.04
35,no,,556.2566609977324,,13,5,life sciences,1,19,2,0,69.53208262471655,4,2, research scientist ,1,married,4492.84,11681.39,1,,,11,3,4,,0,,2,3,16,,1,10,4492.84,1988,53914.08,,,False,53914.08
40,no,travel rarely,1032.4872861766066,,15,3,life sciences,1,20,1,1,129.06091077207583,2,3, manufacturing director ,3,unknown,8339.32,21682.23,1,y,,13,3,4,,2,18.0,2,,18,,14,12,8339.32,1983,100071.84,,,True,100071.84
45,no,non travel,1108.920634920635, research & development ,1,1,,1,21,3,0,138.61507936507937,2,3, healthcare representative ,3,unknown,8956.67,23287.33,3,y,,23,4,4,full time,1,25.0,3,2,23,,14,4,8956.67,1978,107480.0, healthcare representative     research & development ,,False,
33,no,,1032.4872861766066,,1,2,life sciences,1,22,1,1,129.06091077207583,3,3, research director ,4,single,8339.32,21682.23,1,,yes,12,3,3,part time,0,15.0,1,3,15,,8,12,,1990,100071.84,,,True,
36,no,,1032.4872861766066,,8,3,,1,23,3,1,129.06091077207583,3,3, healthcare representative ,3,divorced,8339.32,21682.23,1,y,,13,,2,,3,17.0,2,3,17,,12,8,,1987,100071.84,,,True,
47,no,,1728.3809523809523,,2,2,other,1,24,3,1,216.0476190476191,3,4, manager ,4,married,13960.0,36296.0,1,,,11,3,3,full time,1,,3,2,26,,3,0,,1976,167520.0,,,False,
36,no,travel rarely,639.7857142857143,,42,2,life sciences,1,25,42,0,79.97321428571429,3,2, sales executive ,4,unknown,5167.5,13435.5,1,y,,14,3,4,full time,1,18.0,1,,18,,4,11,5167.5,1987,62010.0,,,True,
35,no,,1032.4872861766066,,9,3,life sciences,1,26,4,1,129.06091077207583,2,3, manufacturing director ,3,married,8339.32,21682.23,1,y,yes,20,4,2,part time,1,17.0,2,3,17,,5,15,,1988,100071.84,,,False,
52,yes,,2047.5,,2,1,,1,27,1,1,255.9375,1,5, manager ,4,married,16537.5,42997.5,1,y,no,15,3,4,full time,1,33.0,3,3,32,,6,9,,1971,198450.0,,,True,
36,no,,556.2566609977324,,2,4,life sciences,1,28,3,1,69.53208262471655,3,2, manufacturing director ,2,single,4492.84,11681.39,9,y,yes,11,3,4,,0,18.0,2,3,16,,5,12,4492.84,1987,53914.11,,,False,
